ID,userId,movieId,rating,timestamp
11418152,118492,2997,4.0,1133700528
13106995,136156,185,3.0,839499230
16474794,171272,539,4.0,1282659020
24431195,253838,236,4.0,836753161
16735415,174030,4643,2.0,1465901130
6600706,68137,32587,4.0,1461376539
17833550,185054,3155,3.5,1221357162
4910862,50563,5464,4.0,1048416887
24788148,257715,457,4.0,1368218740
14023763,145698,6534,1.0,1057277624
8301885,85588,8965,2.5,1460518034
25500186,265418,379,0.5,1300569745
6576370,67897,3147,5.0,1152573262
22194530,230401,2324,5.0,938959416
18512391,192164,150,4.5,1117947846
12159329,126077,5377,4.0,1025625651
79587,824,8984,3.0,1173277161
7790144,80258,63001,3.5,1498108251
21245609,220674,6534,3.0,1479301612
521907,5376,7487,4.0,1446938746
8957898,92483,48598,3.0,1481673537
6634929,68467,102125,4.0,1407677760
19181758,199207,198,1.0,845776020
3294979,34209,653,2.5,1101147393
17843107,185182,1743,4.0,1144876050
23326908,242131,4993,4.5,1223654055
8911299,91956,1356,5.0,1337211481
18421728,191173,1219,4.0,1013056264
20942744,217593,2160,5.0,1330168569
1611337,16708,2087,3.0,1004831094
3244313,33732,6664,4.5,1344725618
2602660,27073,434,2.5,1139972936
21464633,222966,54190,4.5,1347862023
12236783,126986,8529,3.0,1494448061
12318849,127751,1302,4.5,1107676310
18944052,196694,4226,3.5,1124322365
21838899,226874,8094,3.5,1487441804
15593595,162326,5611,3.5,1329859269
9507712,98140,277,4.0,1274576979
1611812,16713,1060,3.0,988701487
13207533,137262,3408,3.0,1007470744
13590531,141312,1269,1.0,901282189
10866978,112307,912,4.0,1071006639
3218315,33447,2133,3.0,1277212425
24053433,249749,2028,4.0,1200566192
549227,5620,59738,4.0,1262098625
15245042,158710,2692,4.0,999286605
25073017,260884,5606,3.0,1315761691
16220291,168586,49272,2.0,1264081379
5083083,52304,860,3.0,1275653971
1494550,15363,1945,5.0,1131566484
11069879,114527,373,5.0,1161885567
13768123,143069,1641,1.5,1118414550
21370911,221948,102407,3.0,1455798581
13508176,140427,84716,5.0,1486323769
5386964,55524,2541,3.0,967785579
8845356,91197,6902,3.0,1170045134
16848079,175106,3328,3.0,1055733067
4806005,49479,2278,5.0,1497560975
2179873,22619,5237,3.5,1070990859
11998041,124334,296,4.0,1443809105
7598091,78482,3624,4.0,965666699
4782872,49271,1227,3.0,1369463752
10202047,105277,110,5.0,976048241
20827402,216437,30793,3.5,1355835785
13472246,140076,2478,2.0,1413497062
25619010,266642,3624,3.0,1471893916
25441713,264882,2353,3.5,1489604158
11200601,116021,5459,2.5,1441404134
20706031,215170,48394,4.5,1467140464
12416363,128783,2144,5.0,944321404
8164854,84170,5349,4.0,1040769552
12208593,126655,4226,5.0,1378745361
18665878,193857,32213,3.0,1368258898
7273263,74977,101088,5.0,1493565635
21081995,219079,1500,5.0,980195693
24548920,255173,2034,3.0,965305577
25275715,263115,117857,3.5,1417317969
25620800,266642,95088,3.0,1471893913
7889563,81332,1265,4.0,1007011582
15919496,165633,5995,4.0,1356650067
1306041,13395,707,3.0,975792813
22178358,230230,6440,4.0,1225252273
16432834,170798,2987,3.0,1006011425
25763862,268134,5584,3.5,1069286619
1942919,20159,3018,4.0,941294055
9725150,100359,4720,5.0,1469078226
8353868,86128,8232,4.0,1147486177
19147430,198870,1646,2.0,1073441122
9461693,97681,5418,3.5,1455597888
25487213,265314,79695,4.0,1451006917
14698812,152810,4308,5.0,1017930775
10975096,113502,837,3.0,854979348
12573292,130510,8983,4.0,1331430455
5041237,51926,446,3.0,1026856083
13138690,136531,1376,3.0,1201472708
23329775,242151,784,2.5,1076390102
17108364,177604,1371,3.5,1227454962
25982251,270467,1291,4.5,1451248928
23980127,248970,1172,3.5,1146094639
15664144,162935,6296,4.5,1064801847
13028392,135383,5218,3.5,1462188384
6483745,66900,6763,3.5,1079815254
15564172,162050,8368,4.0,1156389680
7640374,78889,6539,4.0,1425993022
7145969,73673,89492,4.0,1476655039
23662610,245643,908,4.0,940581127
15826556,164598,6593,2.5,1456188518
24737851,257169,1721,4.5,1306190791
9141887,94390,185,4.0,840111315
12800426,132846,48394,4.0,1356499887
10944391,113152,67788,3.0,1493604166
3096308,32268,1059,4.0,858625152
270007,2839,7618,3.0,1126901773
2696309,27952,2028,3.5,1490061818
11330256,117554,1198,4.0,857916142
25535716,265779,2311,3.0,948007385
1001284,10198,2700,3.0,1090379925
23630463,245257,122922,3.5,1493092035
6336580,65469,593,4.0,1290915049
25305922,263460,107771,4.0,1487139380
10153552,104760,155064,3.5,1488087020
20849931,216688,3755,3.0,1483427391
21519933,223543,1,4.0,1153761524
2790832,29005,593,4.0,1500127919
3659212,38113,2683,4.0,1115616569
16218266,168575,1347,3.0,930398340
24324245,252598,866,4.0,879413785
18333431,190286,589,4.0,836912864
22850089,237414,1573,2.0,996539385
21659830,225001,661,2.0,1074132029
9851089,101571,1921,4.0,983203493
20429640,212286,2070,4.0,974653658
8169486,84205,2858,4.5,1159829872
20790171,216068,145,4.0,1099100054
5705179,58723,1214,3.0,1450334932
36907,398,7781,2.0,1091703981
7892708,81370,3262,3.0,956619002
25716261,267656,4995,4.5,1425675322
9494086,98011,5544,3.5,1201757494
14194633,147481,28,4.0,845661709
18200233,188804,1234,5.0,987525138
3569535,37204,4658,4.0,1216017144
20089099,208895,2692,4.0,1105629735
14290626,148358,34534,2.5,1170125337
21845434,226949,3210,4.0,1256722876
18351549,190507,5420,2.5,1328038645
22233468,230774,551,5.0,838991570
12313685,127696,82167,3.0,1303760888
867404,8859,1393,3.0,1262562725
25305583,263456,1573,1.0,945029096
18698865,194203,1028,3.0,1390100747
11211043,116153,160271,4.5,1499274306
14977881,155775,3185,4.0,1114873609
18878265,196078,653,4.0,948403938
10561595,109016,60069,4.0,1491274925
18006848,186960,81845,2.5,1396477896
451640,4664,4993,3.0,1153604443
18813999,195405,6157,3.0,1193718778
11396245,118292,2046,3.0,976247996
4929821,50727,7991,3.0,1252132078
23165730,240452,2294,4.0,1028039647
2066185,21494,3481,3.5,1116264783
9456372,97621,316,5.0,844625352
20047747,208512,2959,4.5,1440312410
10795165,111496,360,5.0,837621081
22139744,229885,3256,4.0,1258559629
2909230,30326,158,3.5,1127448117
11694786,121273,1198,3.5,1438143010
14426799,149946,1179,5.0,977271276
19055222,197883,58334,2.5,1265763758
20893627,217114,803,3.0,940203617
2272439,23586,3498,4.0,992638445
24790896,257760,249,4.0,1027276592
8035228,82875,2396,4.0,1156862792
14520168,150921,6979,3.0,1439183883
8394232,86496,2004,4.0,1169783077
25537873,265801,1219,2.5,1190429021
9729352,100407,3977,0.5,1171188943
24033852,249544,1414,4.0,879762269
17672157,183294,6989,3.0,1136327409
2783296,28913,95167,4.0,1355513614
24756168,257379,2706,2.5,1332197819
170545,1785,72998,4.0,1279820299
769427,7848,102716,3.0,1447255905
554338,5647,8984,3.0,1332943636
14919269,155101,419,2.5,1176134595
1766135,18341,592,2.5,1112169035
